;ponto_id;lat;lon
126;388;-8.031238596193251;-34.94915700684417
127;393;-8.03123860806658;-34.94915695495724
128;394;-8.031238596193251;-34.94915700684417
129;400;-8.03123861586675;-34.94915692087077
130;401;-8.031238588498523;-34.949157040470986
131;402;-8.031238592144812;-34.949157024536255
132;408;-8.031238602390829;-34.94915697976038
133;409;-8.031238596193251;-34.94915700684417
134;411;-8.031238578175575;-34.949157085583984
135;415;-8.031238572217225;-34.949157111623286
136;416;-8.03123861586675;-34.94915692087077
137;427;-8.031238578175575;-34.949157085583984
138;429;-8.0312385921956;-34.949157024314225
139;433;-8.03123860369842;-34.9491569740463
140;435;-8.03123861586675;-34.94915692087077
141;439;-8.031238579719467;-34.94915707883689
142;445;-8.031238586033147;-34.94915705124499
143;447;-8.031238592366611;-34.94915702356696
